date,latitude,longitude,potential_evaporation_max,potential_evaporation_mean,potential_evaporation_min,total_precipitation_max,total_precipitation_mean,total_precipitation_min,skin_temperature_max,skin_temperature_mean,skin_temperature_min,soil_temperature_level_1_max,soil_temperature_level_1_mean,soil_temperature_level_1_min,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_1_min,irrigation_mm
2022-03-18,10.282741,105.414218,125.443,125.443,125.443,85.973,85.973,85.973,30.04,30.04,30.04,31.06,31.06,31.06,0.19265429178873697,0.19265429178873697,0.19265429178873697,39.47
2022-03-18,10.292251,105.405536,125.443,125.443,125.443,85.973,85.973,85.973,30.04,30.04,30.04,31.06,31.06,31.06,0.19265429178873697,0.19265429178873697,0.19265429178873697,39.47
2022-03-18,10.303175,105.416814,112.931,112.931,112.931,78.063,78.063,78.063,30.19,30.19,30.19,31.14,31.14,31.14,0.18091201782226562,0.18091201782226562,0.18091201782226562,34.868
2022-03-18,10.320924,105.404264,112.931,112.931,112.931,78.063,78.063,78.063,30.19,30.19,30.19,31.14,31.14,31.14,0.18091201782226562,0.18091201782226562,0.18091201782226562,34.868
2022-03-18,10.335158,105.395026,114.492,114.492,114.492,100.196,100.196,100.196,30.42,30.42,30.42,31.42,31.42,31.42,0.19748242696126303,0.19748242696126303,0.19748242696126303,14.296
2022-03-20,10.430707,105.315671,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.434624,105.327551,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.436532,105.313783,,,,,,,,,,,,,,,,
2022-03-20,10.439647,105.334052,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.442271,105.339057,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.443677,105.348236,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.444036,105.331928,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.446006,105.338972,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.447125,105.31374,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
2022-03-20,10.454342,105.322838,129.406,129.406,129.406,154.678,154.678,154.678,29.53,29.53,29.53,30.49,30.49,30.49,0.30064646402994794,0.30064646402994794,0.30064646402994794,0.0
