date,latitude,longitude,bdod_0-5cm_mean_max,bdod_0-5cm_mean_mean,bdod_0-5cm_mean_min,ocd_0-5cm_mean_max,ocd_0-5cm_mean_mean,ocd_0-5cm_mean_min,ocd_15-30cm_mean_max,ocd_15-30cm_mean_mean,ocd_15-30cm_mean_min,ocd_5-15cm_mean_max,ocd_5-15cm_mean_mean,ocd_5-15cm_mean_min,sand_0-5cm_mean_max,sand_0-5cm_mean_mean,sand_0-5cm_mean_min,silt_0-5cm_mean_max,silt_0-5cm_mean_mean,silt_0-5cm_mean_min,clay_0-5cm_mean_max,clay_0-5cm_mean_mean,clay_0-5cm_mean_min,phh2o_0-5cm_mean_max,phh2o_0-5cm_mean_mean,phh2o_0-5cm_mean_min,nitrogen_0-5cm_mean_max,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_min
2022-03-18,10.282741,105.414218,123,120.43977222952257,119,381,361.0324276950044,337,321,286.94938650306756,264,343,307.296888694128,291,219,200.36787905346185,181,459,440.08413672217347,428,385,359.6713409290097,342,58,55.50284837861526,55,3354,2824.2210780017526,2678
2022-03-18,10.292251,105.405536,124,121.53826530612244,119,375,356.76873115286475,343,314,288.3094409649733,270,336,298.65182092321965,287,226,194.76316399907216,175,437,397.2832289491997,355,421,407.98260264439796,373,60,57.41289723961959,56,3180,2713.2043609371376,2534
2022-03-18,10.303175,105.416814,124,121.92971315962338,120,380,360.7163819535699,343,310,287.5716162943496,262,342,313.5398598335524,288,212,197.13534822601844,169,464,450.8480070083225,420,397,352.0700832238283,335,60,56.54708716600965,55,3203,2796.7043363994744,2575
2022-03-18,10.320924,105.404264,125,121.99890398947824,120,384,368.74479737130343,347,309,290.564512595838,255,348,314.73822562979194,288,207,195.8801752464403,180,449,440.30054764512596,428,379,363.79912376779845,346,61,57.85870755750273,55,3219,2783.626725082146,2490
2022-03-18,10.335158,105.395026,125,122.60092044707427,120,388,367.97699890470983,358,302,274.27141292442496,258,333,291.6328587075575,277,213,187.79780941949613,181,425,408.49003285870754,377,420,403.7837897042717,387,59,55.9618838992333,55,3253,2694.717415115005,2516
2022-03-20,10.430707,105.315671,124,121.13644327639068,119,394,377.8343195266272,361,335,313.13499890422963,292,356,335.97063335524865,317,222,211.07232084155152,201,400,375.56870479947395,351,427,413.21104536489145,388,61,57.45847030462414,56,3686,3372.376725838263,3105
2022-03-20,10.434624,105.327551,126,123.91277668200746,122,404,382.8443665059184,364,314,297.6260412099956,267,360,346.3042525208242,305,237,216.62341078474353,208,391,361.7459447610696,349,432,421.5578693555458,375,60,56.30271810609382,56,3471,3168.6536606751424,2743
2022-03-20,10.436532,105.313783,127,122.02937308198155,119,387,374.06571741511493,363,319,305.9544359255203,275,357,334.9588170865279,315,227,210.6317634173056,197,422,384.7242059145674,351,427,404.62212486308874,363,61,56.92946330777656,55,3656,3340.7789704271627,2985
2022-03-20,10.439647,105.334052,129,125.53996058681851,124,410,372.9032187431574,348,314,288.6702430479526,254,360,328.8548281147362,287,234,223.98795708342453,217,395,371.7674622290344,349,430,404.19334355156565,374,57,55.96518502299102,55,3797,3193.257937376834,2743
2022-03-20,10.442271,105.339057,129,125.81410116049923,124,412,386.09457092819616,358,307,286.1827933450088,270,349,327.7896234676008,294,234,221.80253940455347,200,395,372.34325744308234,352,433,405.8887915936953,374,60,56.32924693520141,55,3840,3475.4128721541165,3090
2022-03-20,10.443677,105.348236,128,125.22071381650983,121,411,384.82887817703784,347,304,288.5999123575812,258,349,322.6599474145487,279,230,214.3584574934269,184,403,371.82953549517975,356,431,414.0124890446978,383,60,56.69829097283086,54,3840,3449.417177914112,2592
2022-03-20,10.444036,105.331928,129,126.54702916027188,124,387,367.5605695509311,348,314,275.2464403066813,254,346,316.47447973713037,286,238,227.59167579408552,212,395,384.40525739320924,363,414,387.9555312157722,371,56,55.82519167579409,55,3572,3070.842716319825,2594
2022-03-20,10.446006,105.338972,129,125.53745072273325,123,412,382.9640666082385,345,307,286.5144609991237,262,342,319.4686678352323,277,237,218.15644171779147,200,395,377.62204206836117,358,427,404.3716038562665,374,60,55.58413672217355,53,3840,3351.2598597721303,2577
2022-03-20,10.447125,105.31374,127,125.20993870402799,121,373,360.1716663017299,344,309,290.7341799868623,272,343,317.62053864681405,293,225,208.3157433763959,190,463,432.97525728049055,403,383,358.72279395664555,339,58,56.24589446025838,55,3552,3089.409240201445,2720
2022-03-20,10.454342,105.322838,131,126.98509752355909,125,402,362.76709027169153,336,304,273.5799737072744,248,350,309.7169149868537,268,241,221.79097283085017,197,447,411.03680981595096,383,387,367.1349693251534,351,58,56.015118317265575,55,3553,2924.055433829974,2591
2022-03-21,10.459704,105.218744,124,121.715318869165,119,405,390.4205914567361,370,339,311.2928806133625,301,343,332.88652792990143,314,195,181.78707557502742,177,457,444.27820372398685,411,394,373.87491785323124,357,58,55.850164293537794,55,3789,3544.376341730559,3254
2022-03-22,10.370371,105.275589,130,128.35919351303968,124,376,364.09929855326624,352,294,260.7693993862342,236,341,319.6192459447612,296,238,231.98421744848758,219,370,356.71240683910577,344,427,411.1714160455942,392,59,57.85116177115302,55,3472,3129.7119684348986,2681
2022-03-22,10.375756,105.208993,124,122.29425942156004,120,393,361.2701577563541,337,307,294.35056967572297,282,334,320.7432077125329,299,221,202.81704645048202,195,412,386.5810692375109,368,428,410.70990359333916,391,58,55.220639789658186,55,4069,3608.838080631025,3093
2022-03-22,10.380497,105.274972,128,125.15987735435834,123,412,378.4240035041612,344,315,274.3024529128339,246,354,329.8666228646518,285,225,210.1815593517302,199,386,345.526938239159,332,463,444.1381953569865,410,61,57.65243101182655,55,3742,3228.1130091984237,2772
2022-03-22,10.387459,105.205582,124,122.62576687116565,121,391,367.1042716319825,345,329,306.3182913472071,290,336,319.2400876232201,300,227,206.21489594742604,196,446,398.51193866374587,369,414,395.190361445783,354,60,57.065279299014236,54,3796,3367.1713033953993,2932
2022-03-22,10.387619,105.243467,125,122.55662650602412,119,405,367.734282584885,352,328,302.655421686747,288,357,341.07732749178524,325,241,224.69813800657175,200,405,368.91237677984674,323,456,406.30602409638544,393,60,56.43943044906901,55,3796,3435.757064622125,3127
2022-03-22,10.394517,105.260713,125,123.47063978965818,122,411,380.8409638554217,354,317,300.09550930996716,286,345,337.53975903614463,328,227,217.84972617743708,205,370,331.726834611172,310,472,450.54852135816003,425,59,56.507119386637456,55,3957,3454.303833515882,3220
2022-03-22,10.395256,105.268561,125,123.34559789750328,122,411,375.9702081051479,358,309,296.62124863088724,283,345,337.88324205914574,320,232,215.59496166484118,209,357,333.0422782037241,311,468,451.3347207009859,411,60,56.53362541073385,55,3709,3314.609857612268,3127
