date,ALLSKY_SFC_SW_DWN,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,latitude,longitude,DEW POINT TEMPERATURE,DTR,VPD
2022-04-05,19.16,82.04,27.46,31.49,24.17,3.54,10.195117,105.200047,24.11218898430279,7.319999999999997,0.6578202216285338
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.195117,105.200047,25.29683192548107,2.5,0.330249753982945
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.205563,105.193771,25.29683192548107,2.5,0.330249753982945
2022-04-05,19.16,82.04,27.46,31.49,24.17,3.54,10.208515,105.202809,24.11218898430279,7.319999999999997,0.6578202216285338
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.208515,105.202809,25.29683192548107,2.5,0.330249753982945
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.212886,105.174836,25.29683192548107,2.5,0.330249753982945
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.214156,105.214175,25.29683192548107,2.5,0.330249753982945
2022-04-05,19.16,82.04,27.46,31.49,24.17,3.54,10.22418,105.198785,24.11218898430279,7.319999999999997,0.6578202216285338
2022-04-05,19.16,82.04,27.46,31.49,24.17,3.54,10.227343,105.230821,24.11218898430279,7.319999999999997,0.6578202216285338
2022-04-22,21.63,81.49,28.51,33.06,25.54,3.02,10.227394,105.164987,25.02264063734746,7.520000000000003,0.7207122775728727
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.227394,105.164987,25.29683192548107,2.5,0.330249753982945
2022-04-05,19.16,82.04,27.46,31.49,24.17,3.54,10.228207,105.177659,24.11218898430279,7.319999999999997,0.6578202216285338
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.232673,105.15164,25.29683192548107,2.5,0.330249753982945
2022-04-05,19.16,82.04,27.46,31.49,24.17,3.54,10.236082,105.210347,24.11218898430279,7.319999999999997,0.6578202216285338
2022-04-20,21.24,81.74,28.26,32.67,24.51,2.67,10.23625,105.234527,24.830563741900388,8.16,0.700733361230617
2022-04-20,21.24,81.74,28.26,32.67,24.51,2.67,10.244181,105.230614,24.830563741900388,8.16,0.700733361230617
2022-07-22,23.62,77.54,28.2,31.13,25.08,0.84,10.244181,105.230614,23.8898315526181,6.050000000000001,0.8589090352549394
2022-04-22,21.63,81.49,28.51,33.06,25.54,3.02,10.245058,105.178415,25.02264063734746,7.520000000000003,0.7207122775728727
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.245058,105.178415,25.29683192548107,2.5,0.330249753982945
2022-07-20,6.87,90.71,26.95,28.36,25.86,3.03,10.246984,105.216849,25.29683192548107,2.5,0.330249753982945
2022-04-10,19.36,82.88,27.58,31.4,24.33,1.48,10.248814,105.361138,24.39953756661737,7.07,0.6314662097798664
2022-07-20,6.87,92.63,26.48,28.64,24.85,2.16,10.248814,105.361138,25.184821784023452,3.789999999999999,0.2548551026133851
2022-04-10,19.36,82.88,27.58,31.4,24.33,1.48,10.249044,105.347198,24.39953756661737,7.07,0.6314662097798664
2022-07-20,6.87,92.63,26.48,28.64,24.85,2.16,10.249044,105.347198,25.184821784023452,3.789999999999999,0.2548551026133851
2022-04-22,21.63,81.49,28.51,33.06,25.54,3.02,10.24991,105.206339,25.02264063734746,7.520000000000003,0.7207122775728727
2022-07-22,23.62,79.44,27.97,31.62,24.08,0.73,10.250745,105.24539,24.07069434896019,7.540000000000003,0.7757972023291232
2022-04-10,19.36,83.09,27.63,31.63,24.27,1.63,10.252308,105.334358,24.490716162434726,7.359999999999999,0.625544333307912
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.254048,105.172039,24.682030058433043,8.920000000000002,0.7821672857682282
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.254048,105.172039,25.335976457808076,3.620000000000001,0.25866298156386003
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.255579,105.190922,24.682030058433043,8.920000000000002,0.7821672857682282
2022-04-20,21.24,80.99,27.97,32.59,23.86,1.47,10.257436,105.217205,24.393652040431206,8.730000000000004,0.7173105455387468
2022-03-28,19.65,77.37,28.8,33.86,25.0,1.3,10.257715,105.375007,24.43377241042045,8.86,0.8960603380673319
2022-07-12,11.11,94.19,26.0,27.4,24.96,3.54,10.257715,105.375007,24.98995440418559,2.4399999999999977,0.1952996540418091
2022-04-10,19.36,83.09,27.63,31.63,24.27,1.63,10.258961,105.323388,24.490716162434726,7.359999999999999,0.625544333307912
2022-07-20,6.87,92.96,26.47,28.83,24.61,2.26,10.258961,105.323388,25.234797351114793,4.219999999999999,0.24330033151965255
2022-07-05,18.78,91.3,27.06,29.6,25.05,2.48,10.262288,105.409359,25.51483388826865,4.550000000000001,0.31127813123795234
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.262681,105.14739,24.682030058433043,8.920000000000002,0.7821672857682282
2022-07-25,19.74,86.46,27.42,30.49,24.54,1.33,10.262681,105.14739,24.95208659741062,5.949999999999999,0.49477048235839516
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.262836,105.117192,24.682030058433043,8.920000000000002,0.7821672857682282
2022-04-20,21.24,80.99,27.97,32.59,23.86,1.47,10.265814,105.21507,24.393652040431206,8.730000000000004,0.7173105455387468
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.265977,105.125368,24.682030058433043,8.920000000000002,0.7821672857682282
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.265977,105.125368,25.335976457808076,3.620000000000001,0.25866298156386003
2022-07-20,6.87,92.96,26.47,28.83,24.61,2.26,10.268095,105.344826,25.234797351114793,4.219999999999999,0.24330033151965255
2022-07-20,6.87,92.96,26.47,28.83,24.61,2.26,10.268524,105.337611,25.234797351114793,4.219999999999999,0.24330033151965255
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.270486,105.19207,24.682030058433043,8.920000000000002,0.7821672857682282
2022-04-10,19.36,83.09,27.63,31.63,24.27,1.63,10.27049,105.316832,24.490716162434726,7.359999999999999,0.625544333307912
2022-07-05,18.78,91.3,27.06,29.6,25.05,2.48,10.270666,105.424059,25.51483388826865,4.550000000000001,0.31127813123795234
2022-04-10,19.36,82.44,27.81,31.8,24.75,1.74,10.272277,105.291556,24.534853223742125,7.050000000000001,0.6564479686942216
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.272277,105.291556,25.335976457808076,3.620000000000001,0.25866298156386003
2022-04-20,21.24,80.99,27.97,32.59,23.86,1.47,10.275419,105.234563,24.393652040431206,8.730000000000004,0.7173105455387468
2022-04-20,21.24,80.99,27.97,32.59,23.86,1.47,10.275776,105.258985,24.393652040431206,8.730000000000004,0.7173105455387468
2022-07-22,23.62,79.44,27.97,31.62,24.08,0.73,10.275776,105.258985,24.07069434896019,7.540000000000003,0.7757972023291232
2022-03-28,19.65,77.37,28.8,33.86,25.0,1.3,10.275826,105.364451,24.43377241042045,8.86,0.8960603380673319
2022-07-12,11.11,94.19,26.0,27.4,24.96,3.54,10.275826,105.364451,24.98995440418559,2.4399999999999977,0.1952996540418091
2022-04-10,19.36,82.44,27.81,31.8,24.75,1.74,10.277579,105.307934,24.534853223742125,7.050000000000001,0.6564479686942216
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.277579,105.307934,25.335976457808076,3.620000000000001,0.25866298156386003
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.279364,105.19089,24.682030058433043,8.920000000000002,0.7821672857682282
2022-04-20,21.24,80.99,27.97,32.59,23.86,1.47,10.280379,105.241273,24.393652040431206,8.730000000000004,0.7173105455387468
2022-07-22,23.62,79.44,27.97,31.62,24.08,0.73,10.280407,105.223352,24.07069434896019,7.540000000000003,0.7757972023291232
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.281814,105.114918,24.682030058433043,8.920000000000002,0.7821672857682282
2022-04-20,21.24,80.99,27.97,32.59,23.86,1.47,10.281994,105.246519,24.393652040431206,8.730000000000004,0.7173105455387468
2022-07-22,23.62,79.44,27.97,31.62,24.08,0.73,10.281994,105.246519,24.07069434896019,7.540000000000003,0.7757972023291232
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.282365,105.276189,25.335976457808076,3.620000000000001,0.25866298156386003
2022-04-10,19.36,83.09,27.63,31.63,24.27,1.63,10.282445,105.330149,24.490716162434726,7.359999999999999,0.625544333307912
2022-07-20,6.87,92.96,26.47,28.83,24.61,2.26,10.282445,105.330149,25.234797351114793,4.219999999999999,0.24330033151965255
2022-03-18,16.65,64.88,30.31,37.21,24.47,0.68,10.282741,105.414218,22.947909756383066,12.740000000000002,1.5168666447013646
2022-07-05,18.78,91.3,27.06,29.6,25.05,2.48,10.282741,105.414218,25.51483388826865,4.550000000000001,0.31127813123795234
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.283009,105.129752,24.682030058433043,8.920000000000002,0.7821672857682282
2022-04-20,21.24,80.99,27.97,32.59,23.86,1.47,10.283233,105.260351,24.393652040431206,8.730000000000004,0.7173105455387468
2022-07-22,23.62,79.44,27.97,31.62,24.08,0.73,10.283233,105.260351,24.07069434896019,7.540000000000003,0.7757972023291232
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.284027,105.15814,24.682030058433043,8.920000000000002,0.7821672857682282
2022-07-25,19.74,86.46,27.42,30.49,24.54,1.33,10.284027,105.15814,24.95208659741062,5.949999999999999,0.49477048235839516
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.284175,105.143442,24.682030058433043,8.920000000000002,0.7821672857682282
2022-07-22,23.62,79.44,27.97,31.62,24.08,0.73,10.284315,105.252391,24.07069434896019,7.540000000000003,0.7757972023291232
2022-04-22,21.63,79.9,28.5,33.77,24.85,2.29,10.286013,105.107472,24.682030058433043,8.920000000000002,0.7821672857682282
2022-04-10,19.36,83.09,27.63,31.63,24.27,1.63,10.28697,105.341571,24.490716162434726,7.359999999999999,0.625544333307912
2022-07-23,18.59,81.73,28.35,31.2,25.53,0.53,10.287565,105.192862,24.91620180634639,5.669999999999998,0.7047923609856878
2022-04-16,15.17,81.66,28.33,31.91,25.63,1.76,10.28859,105.207594,24.882322232506183,6.280000000000001,0.7066714128202889
2022-04-10,19.36,83.09,27.63,31.63,24.27,1.63,10.290802,105.32462,24.490716162434726,7.359999999999999,0.625544333307912
2022-07-23,18.59,81.73,28.35,31.2,25.53,0.53,10.290816,105.182958,24.91620180634639,5.669999999999998,0.7047923609856878
2022-04-10,19.36,82.44,27.81,31.8,24.75,1.74,10.291025,105.299533,24.534853223742125,7.050000000000001,0.6564479686942216
2022-03-28,19.65,77.37,28.8,33.86,25.0,1.3,10.292156,105.361294,24.43377241042045,8.86,0.8960603380673319
2022-03-18,16.65,64.88,30.31,37.21,24.47,0.68,10.292251,105.405536,22.947909756383066,12.740000000000002,1.5168666447013646
2022-07-05,18.78,91.3,27.06,29.6,25.05,2.48,10.292251,105.405536,25.51483388826865,4.550000000000001,0.31127813123795234
2022-04-13,21.33,81.05,28.37,33.04,24.71,2.28,10.29466,105.248528,24.795377031149727,8.329999999999998,0.7318738473889385
2022-04-09,19.79,80.99,27.8,31.74,24.38,1.68,10.297494,105.145318,24.228196758627018,7.359999999999999,0.710239252237945
2022-07-25,19.74,86.46,27.42,30.49,24.54,1.33,10.297494,105.145318,24.95208659741062,5.949999999999999,0.49477048235839516
2022-04-10,19.36,82.44,27.81,31.8,24.75,1.74,10.298963,105.275991,24.534853223742125,7.050000000000001,0.6564479686942216
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.298963,105.275991,25.335976457808076,3.620000000000001,0.25866298156386003
2022-07-23,18.59,81.73,28.35,31.2,25.53,0.53,10.299014,105.215448,24.91620180634639,5.669999999999998,0.7047923609856878
2022-03-18,16.65,64.88,30.31,37.21,24.47,0.68,10.303175,105.416814,22.947909756383066,12.740000000000002,1.5168666447013646
2022-07-05,18.78,91.3,27.06,29.6,25.05,2.48,10.303175,105.416814,25.51483388826865,4.550000000000001,0.31127813123795234
2022-07-12,11.11,94.19,26.0,27.4,24.96,3.54,10.303437,105.381252,24.98995440418559,2.4399999999999977,0.1952996540418091
2022-04-13,21.33,81.05,28.37,33.04,24.71,2.28,10.303589,105.234936,24.795377031149727,8.329999999999998,0.7318738473889385
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.303589,105.234936,25.335976457808076,3.620000000000001,0.25866298156386003
2022-03-28,19.65,77.37,28.8,33.86,25.0,1.3,10.3037,105.354593,24.43377241042045,8.86,0.8960603380673319
2022-07-12,11.11,94.19,26.0,27.4,24.96,3.54,10.3037,105.354593,24.98995440418559,2.4399999999999977,0.1952996540418091
2022-07-23,18.59,81.73,28.35,31.2,25.53,0.53,10.303766,105.203102,24.91620180634639,5.669999999999998,0.7047923609856878
2022-04-13,21.33,81.05,28.37,33.04,24.71,2.28,10.304295,105.27046,24.795377031149727,8.329999999999998,0.7318738473889385
2022-07-20,6.87,92.96,26.47,28.83,24.61,2.26,10.306769,105.34023,25.234797351114793,4.219999999999999,0.24330033151965255
2022-04-10,19.36,82.44,27.81,31.8,24.75,1.74,10.306886,105.290958,24.534853223742125,7.050000000000001,0.6564479686942216
2022-04-09,19.79,80.99,27.8,31.74,24.38,1.68,10.30701,105.130668,24.228196758627018,7.359999999999999,0.710239252237945
2022-07-25,19.74,86.46,27.42,30.49,24.54,1.33,10.30701,105.130668,24.95208659741062,5.949999999999999,0.49477048235839516
2022-04-13,21.33,81.05,28.37,33.04,24.71,2.28,10.307585,105.254064,24.795377031149727,8.329999999999998,0.7318738473889385
2022-04-16,15.17,81.66,28.33,31.91,25.63,1.76,10.309139,105.215737,24.882322232506183,6.280000000000001,0.7066714128202889
2022-07-23,18.59,81.73,28.35,31.2,25.53,0.53,10.309139,105.215737,24.91620180634639,5.669999999999998,0.7047923609856878
2022-04-10,19.36,83.09,27.63,31.63,24.27,1.63,10.309795,105.31553,24.490716162434726,7.359999999999999,0.625544333307912
2022-03-28,19.65,77.37,28.8,33.86,25.0,1.3,10.314233,105.359823,24.43377241042045,8.86,0.8960603380673319
2022-07-12,11.11,94.19,26.0,27.4,24.96,3.54,10.314233,105.359823,24.98995440418559,2.4399999999999977,0.1952996540418091
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.3154,105.280846,25.335976457808076,3.620000000000001,0.25866298156386003
2022-04-10,19.36,82.44,27.81,31.8,24.75,1.74,10.316024,105.309873,24.534853223742125,7.050000000000001,0.6564479686942216
2022-07-20,6.87,92.59,26.64,28.64,25.02,2.61,10.316024,105.309873,25.335976457808076,3.620000000000001,0.25866298156386003
2022-04-16,15.17,81.66,28.33,31.91,25.63,1.76,10.318227,105.218967,24.882322232506183,6.280000000000001,0.7066714128202889
2022-07-23,18.59,81.73,28.35,31.2,25.53,0.53,10.318227,105.218967,24.91620180634639,5.669999999999998,0.7047923609856878
