District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),latitude,longitude
Thoai_Son,10.282741,105.414218,WS,D,2022-03-18,2.9,6800,10.282741,105.414218
Thoai_Son,10.292251,105.405536,WS,D,2022-03-18,1.26,7200,10.292251,105.405536
Thoai_Son,10.303175,105.416814,WS,D,2022-03-18,2.0,8000,10.303175,105.416814
Thoai_Son,10.320924,105.404264,WS,D,2022-03-18,3.6,8000,10.320924,105.404264
Thoai_Son,10.335158,105.395026,WS,D,2022-03-18,2.2,7600,10.335158,105.395026
Chau_Thanh,10.430707,105.315671,WS,T,2022-03-20,1.54,7040,10.430707,105.315671
Chau_Thanh,10.434624,105.327551,WS,T,2022-03-20,2.53,7400,10.434624,105.327551
Chau_Thanh,10.436532,105.313783,WS,T,2022-03-20,1.32,7760,10.436532,105.313783
Chau_Thanh,10.439647,105.334052,WS,T,2022-03-20,2.42,8000,10.439647,105.334052
Chau_Thanh,10.442271,105.339057,WS,T,2022-03-20,2.53,7000,10.442271,105.339057
Chau_Thanh,10.443677,105.348236,WS,T,2022-03-20,1.76,7040,10.443677,105.348236
Chau_Thanh,10.444036,105.331928,WS,T,2022-03-20,2.42,7200,10.444036,105.331928
Chau_Thanh,10.446006,105.338972,WS,T,2022-03-20,2.2,8000,10.446006,105.338972
Chau_Thanh,10.447125,105.31374,WS,T,2022-03-20,2.75,7000,10.447125,105.31374
Chau_Thanh,10.454342,105.322838,WS,D,2022-03-20,1.375,7600,10.454342,105.322838
Chau_Thanh,10.459704,105.218744,WS,T,2022-03-21,1.65,7200,10.459704,105.218744
Chau_Thanh,10.370371,105.275589,WS,T,2022-03-22,3.0,6880,10.370371,105.275589
Chau_Thanh,10.375756,105.208993,WS,T,2022-03-22,1.98,6800,10.375756,105.208993
Chau_Thanh,10.380497,105.274972,WS,T,2022-03-22,3.5,7040,10.380497,105.274972
Chau_Thanh,10.387459,105.205582,WS,T,2022-03-22,6.6,7200,10.387459,105.205582
Chau_Thanh,10.387619,105.243467,WS,T,2022-03-22,1.3,7000,10.387619,105.243467
Chau_Thanh,10.394517,105.260713,WS,T,2022-03-22,4.4,6800,10.394517,105.260713
Chau_Thanh,10.395256,105.268561,WS,T,2022-03-22,1.5,8000,10.395256,105.268561
Chau_Thanh,10.399256,105.204494,WS,T,2022-03-22,1.76,7000,10.399256,105.204494
Chau_Thanh,10.402927,105.235656,WS,T,2022-03-22,1.98,7040,10.402927,105.235656
Chau_Thanh,10.404721,105.258428,WS,T,2022-03-22,5.0,7000,10.404721,105.258428
Chau_Thanh,10.406199,105.248616,WS,T,2022-03-22,6.05,7200,10.406199,105.248616
Chau_Thanh,10.378511,105.144998,WS,T,2022-03-24,1.65,8000,10.378511,105.144998
Chau_Thanh,10.379507,105.154892,WS,T,2022-03-24,1.32,7200,10.379507,105.154892
Chau_Thanh,10.386546,105.19302,WS,T,2022-03-24,1.65,7200,10.386546,105.19302
Chau_Thanh,10.387123,105.119326,WS,T,2022-03-24,1.87,6800,10.387123,105.119326
Chau_Thanh,10.389374,105.169781,WS,T,2022-03-24,2.09,7040,10.389374,105.169781
Chau_Thanh,10.389594,105.147461,WS,T,2022-03-24,3.3,6400,10.389594,105.147461
Chau_Thanh,10.391781,105.161155,WS,T,2022-03-24,1.87,7040,10.391781,105.161155
Chau_Thanh,10.394341,105.126836,WS,T,2022-03-24,4.4,7000,10.394341,105.126836
Chau_Thanh,10.395094,105.169245,WS,T,2022-03-24,3.85,7200,10.395094,105.169245
Chau_Thanh,10.395734,105.143745,WS,T,2022-03-24,1.76,6960,10.395734,105.143745
