Area,Harvest Date,Harvest Area,yield (kg / ha),Season,Intensity,Latitude,Longitude
ES111,15-07-2020,6488.0,6896,SA,D,43.08895,-8.59496
ES112,15-07-2020,2063.0,6590,SA,D,43.11323,-7.572
ES113,15-07-2020,1900.0,6024,SA,D,42.19387,-7.78684
ES114,15-07-2020,5248.0,5010,SA,D,42.72535,-8.29535
ES120,15-07-2020,478.0,2600,SA,D,43.55671,-6.47065
ES130,15-07-2020,0.0,0,SA,D,43.42863,-3.89545
ES211,15-07-2020,4.0,4500,SA,D,42.9655,-2.75258
ES212,15-07-2020,101.0,3297,SA,D,43.20135,-2.13431
ES213,15-07-2020,72.0,3750,SA,D,43.30779,-2.99522
ES220,15-07-2020,16106.0,11386,SA,D,42.4273,-1.73358
ES230,15-07-2020,394.0,12165,SA,D,42.27149,-1.97541
ES241,15-07-2020,66339.0,12465,SA,D,41.86705,-0.05219
ES242,15-07-2020,1685.0,11278,SA,D,40.73827,-1.00363
ES243,15-07-2020,15839.0,12811,SA,D,41.86077,-1.07946
ES411,15-07-2020,1278.0,11900,SA,D,40.97913,-4.85813
ES412,15-07-2020,681.0,13885,SA,D,41.84807,-3.87632
ES413,15-07-2020,71837.0,12450,SA,D,42.4113,-5.68645
ES414,15-07-2020,4109.0,11820,SA,D,42.41262,-4.67343
ES415,15-07-2020,17082.0,13304,SA,D,40.99443,-5.5754
ES416,15-07-2020,51.0,10510,SA,D,41.2211,-4.41308
ES417,15-07-2020,79.0,12000,SA,D,41.58075,-2.86887
ES418,15-07-2020,5609.0,12915,SA,D,41.65781,-5.10557
ES419,15-07-2020,14856.0,14447,SA,D,41.82753,-5.74309
ES421,15-07-2020,6800.0,14400,SA,D,39.0489,-1.99314
ES422,15-07-2020,1224.0,10766,SA,D,39.26904,-4.16304
ES423,15-07-2020,656.0,12058,SA,D,39.6437,-2.38957
ES424,15-07-2020,2485.0,12969,SA,D,40.92142,-3.0692
ES425,15-07-2020,4651.0,10300,SA,D,39.97782,-4.49185
ES431,15-07-2020,23612.0,13259,SA,D,39.02606,-6.19655
ES432,15-07-2020,17384.0,13410,SA,D,39.80093,-6.27123
ES511,15-07-2020,179.0,6173,SA,D,41.90971,2.24778
ES512,15-07-2020,5989.0,13326,SA,D,42.16169,2.87706
ES513,15-07-2020,33830.0,11647,SA,D,41.74448,0.71416
ES514,15-07-2020,79.0,10000,SA,D,40.86232,0.57098
ES521,15-07-2020,141.0,11915,SA,D,38.2,-0.88411
ES522,15-07-2020,100.0,3520,SA,D,40.36508,0.07989
ES523,15-07-2020,79.0,14962,SA,D,39.3862,-0.58762
ES611,15-07-2020,3.0,5333,SA,D,37.45555,-2.25556
ES612,15-07-2020,2054.0,14193,SA,D,36.59786,-5.94015
ES613,15-07-2020,984.0,12500,SA,D,37.81599,-4.99439
ES614,15-07-2020,1993.0,11048,SA,D,37.24434,-3.75542
ES615,15-07-2020,120.0,13258,SA,D,37.75169,-7.11385
ES616,15-07-2020,654.0,11000,SA,D,38.03548,-3.86859
ES617,15-07-2020,174.0,9500,SA,D,37.10579,-4.67189
ES618,15-07-2020,2736.0,13409,SA,D,37.50512,-5.81387
ES620,15-07-2020,204.0,10127,SA,D,38.1893,-1.43707
ES111,15-07-2019,6631.0,5960,SA,D,43.08895,-8.59496
ES112,15-07-2019,2085.0,5960,SA,D,43.11323,-7.572
ES113,15-07-2019,1939.0,6512,SA,D,42.19387,-7.78684
ES114,15-07-2019,5146.0,4894,SA,D,42.72535,-8.29535
ES120,15-07-2019,431.0,2601,SA,D,43.55671,-6.47065
ES130,15-07-2019,12.0,1500,SA,D,43.42863,-3.89545
ES211,15-07-2019,4.0,4750,SA,D,42.9655,-2.75258
ES212,15-07-2019,101.0,3198,SA,D,43.20135,-2.13431
ES213,15-07-2019,72.0,3556,SA,D,43.30779,-2.99522
ES220,15-07-2019,15280.0,11501,SA,D,42.4273,-1.73358
ES230,15-07-2019,428.0,11846,SA,D,42.27149,-1.97541
ES241,15-07-2019,70546.0,11623,SA,D,41.86705,-0.05219
