Date of Harvest,latitude,longitude,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Field size (ha),Rice Yield (kg/ha),variable,api parameter,source dataset,dataset,frequency,detailed_notes
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Aspect,aspect,SRTM (GEE),USGS/SRTMGL1_003,,Derived from DEM using terrain() function in Google Earth Engine.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,ET (Evapotranspiration),ET,MOD16A2 (MODIS),MODIS/006/MOD16A2,,Evapotranspiration (mm/day) from MODIS MOD16A2 dataset.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,EVI,Derived,Sentinel-2 (GEE),COPERNICUS/S2,,EVI = 2.5 * (NIR - RED) / (NIR + 6*RED - 7.5*BLUE + 1) using Sentinel-2 bands.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Elevation,elevation,SRTM (GEE),USGS/SRTMGL1_003,,Elevation values in meters derived from the SRTM DEM dataset.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Irrigation,Derived,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,"Irrigation = max(0, PEV - TP) estimated from precipitation and potential evapotranspiration."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Total Precipitation,total_precipitation,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,"Total amount of precipitation (rain, snow, etc.) accumulated over a time step."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Potential Evaporation,potential_evaporation,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,Amount of water that would evaporate and transpire if sufficient water were available (potential evapotranspiration).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,LAI,Derived,Sentinel-2 (GEE),COPERNICUS/S2,,"LAI = 3.618 * NDVI - 0.118 (Weiss et al., 2007) calculated from Sentinel-2 NDVI."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,NDVI,Derived,Sentinel-2 (GEE),COPERNICUS/S2,,NDVI = (NIR - RED) / (NIR + RED) using Sentinel-2 spectral bands.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,VH,VH_mean,Sentinel-1 (GEE),COPERNICUS/S1_GRD,,"Plant height proxy derived from Sentinel-1 SAR backscatter measurements (VH, VV polarization)."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,VV,VV_mean,Sentinel-1 (GEE),COPERNICUS/S1_GRD,,"Plant height proxy derived from Sentinel-1 SAR backscatter measurements (VH, VV polarization)."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Slope,slope,SRTM (GEE),USGS/SRTMGL1_003,,Derived from DEM using slope function in GEE.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Bulk Density (Oven Dry),bdod_0-5cm_mean,ISRIC,projects/soilgrids-isric/bdod_mean,,Mass of dry soil per unit volume
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Moisture,volumetric_soil_water_layer_1,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,Volumetric soil moisture in the top 0â€“10 cm layer (mÂ³/mÂ³).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Organic Carbon,ocd_0-5cm_mean,ISRIC,projects/soilgrids-isric/ocd_mean,,Soil organic carbon content (g/kg) from SoilGrids dataset.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Organic Carbon,ocd_5-15cm_mean,ISRIC,projects/soilgrids-isric/ocd_mean,,Soil organic carbon content (g/kg) from SoilGrids dataset.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Organic Carbon,ocd_15-30cm_mean,ISRIC,projects/soilgrids-isric/ocd_mean,,Soil organic carbon content (g/kg) from SoilGrids dataset.
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Temperature,soil_temperature_level_1,ERA5-Land,ECMWF/ERA5_LAND/HOURLY,,Soil temperature at depth level 1 (Â°C).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Texture,sand_0-5cm_mean,ISRIC,projects/soilgrids-isric/sand_mean,,"Percentage composition of sand, silt, and clay in the soil."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Texture,silt_0-5cm_mean,ISRIC,projects/soilgrids-isric/silt_mean,,"Percentage composition of sand, silt, and clay in the soil."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Texture,clay_0-5cm_mean,ISRIC,projects/soilgrids-isric/clay_mean,,"Percentage composition of sand, silt, and clay in the soil."
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil pH,phh2o_0-5cm_mean,ISRIC,projects/soilgrids-isric/phh2o_mean,,Soil pH measured in Hâ‚‚O solution (0â€“5 cm).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Soil Nitrogen,nitrogen_0-5cm_mean,ISRIC,projects/soilgrids-isric/nitrogen_mean,,Amount of nitrogen in soil
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Solar Radiation,ALLSKY_SFC_SW_DWN,NASA POWER,NASA POWER,,Downwelling shortwave radiation (MJ/mÂ²/day).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Tavg,T2M,NASA POWER,NASA POWER,,Mean daily temperature (Tmax + Tmin)/2 (Â°C).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Tmax,T2M_MAX,NASA POWER,NASA POWER,,Daily maximum temperature (Â°C).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,Tmin,T2M_MIN,NASA POWER,NASA POWER,,Daily minimum temperature (Â°C).
2022-03-18,10.282741,105.414218,Thoai_Son,10.282741,105.414218,WS,D,2.9,6800,DTR,Derived,NASA POWER,NASA POWER,,Diurnal Temperature Range  DTR=Tmax−Tmin ​
