date,latitude,longitude,potential_evaporation_max,potential_evaporation_mean,potential_evaporation_min,total_precipitation_max,total_precipitation_mean,total_precipitation_min,skin_temperature_max,skin_temperature_mean,skin_temperature_min,soil_temperature_level_1_max,soil_temperature_level_1_mean,soil_temperature_level_1_min,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_1_min,irrigation_mm
2010-07-15,28.11818,-15.55454,,,,,,,,,,,,,,,,
2010-07-15,28.47143,-16.54286,,,,,,,,,,,,,,,,
2010-07-15,28.7,-18.0,,,,,,,,,,,,,,,,
2010-07-15,36.59786,-5.94015,112.874,112.874,112.874,0.007,0.007,0.007,27.88,27.88,27.88,28.14,28.14,28.14,0.10773785909016927,0.10773785909016927,0.10773785909016927,112.866
2010-07-15,37.10579,-4.67189,125.312,125.312,125.312,0.007,0.007,0.007,28.42,28.42,28.42,28.6,28.6,28.6,0.1424382527669271,0.1424382527669271,0.1424382527669271,125.305
2010-07-15,37.24434,-3.75542,119.836,119.836,119.836,0.007,0.007,0.007,26.81,26.81,26.81,26.7,26.7,26.7,0.1462376912434896,0.1462376912434896,0.1462376912434896,119.829
2010-07-15,37.45555,-2.25556,112.911,112.911,112.911,0.007,0.007,0.007,30.56,30.56,30.56,30.27,30.27,30.27,0.05767631530761719,0.05767631530761719,0.05767631530761719,112.903
2010-07-15,37.50512,-5.81387,133.566,133.566,133.566,0.007,0.007,0.007,30.47,30.47,30.47,31.2,31.2,31.2,0.19801712036132812,0.19801712036132812,0.19801712036132812,133.559
2010-07-15,37.75169,-7.11385,170.391,170.391,170.391,0.007,0.007,0.007,26.65,26.65,26.65,27.4,27.4,27.4,0.12169392903645833,0.12169392903645833,0.12169392903645833,170.384
2010-07-15,37.81599,-4.99439,132.172,132.172,132.172,0.007,0.007,0.007,30.48,30.48,30.48,31.15,31.15,31.15,0.10655911763509114,0.10655911763509114,0.10655911763509114,132.165
2010-07-15,38.03548,-3.86859,121.845,121.845,121.845,0.007,0.007,0.007,31.16,31.16,31.16,31.38,31.38,31.38,0.10525131225585938,0.10525131225585938,0.10525131225585938,121.837
2010-07-15,38.1893,-1.43707,145.526,145.526,145.526,0.008,0.008,0.008,30.54,30.54,30.54,30.7,30.7,30.7,0.13792292277018228,0.13792292277018228,0.13792292277018228,145.518
2010-07-15,38.2,-0.88411,,,,,,,,,,,,,,,,
2010-07-15,39.02606,-6.19655,,,,,,,,,,,,,,,,
2010-07-15,39.0489,-1.99314,124.989,124.989,124.989,0.007,0.007,0.007,29.69,29.69,29.69,29.65,29.65,29.65,0.12817700703938803,0.12817700703938803,0.12817700703938803,124.982
2010-07-15,39.26904,-4.16304,127.584,127.584,127.584,0.007,0.007,0.007,26.41,26.41,26.41,26.73,26.73,26.73,0.12919489542643228,0.12919489542643228,0.12919489542643228,127.576
