date,latitude,longitude,bdod_0-5cm_mean_max,bdod_0-5cm_mean_mean,bdod_0-5cm_mean_min,ocd_0-5cm_mean_max,ocd_0-5cm_mean_mean,ocd_0-5cm_mean_min,ocd_15-30cm_mean_max,ocd_15-30cm_mean_mean,ocd_15-30cm_mean_min,ocd_5-15cm_mean_max,ocd_5-15cm_mean_mean,ocd_5-15cm_mean_min,sand_0-5cm_mean_max,sand_0-5cm_mean_mean,sand_0-5cm_mean_min,silt_0-5cm_mean_max,silt_0-5cm_mean_mean,silt_0-5cm_mean_min,clay_0-5cm_mean_max,clay_0-5cm_mean_mean,clay_0-5cm_mean_min,phh2o_0-5cm_mean_max,phh2o_0-5cm_mean_mean,phh2o_0-5cm_mean_min,nitrogen_0-5cm_mean_max,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_min
2010-07-15,28.11818,-15.55454,130,126.59037199124732,122,413,371.89027595269386,339,249,230.01511169513805,208,321,296.8388085851949,265,393,382.17257993867725,364,324,311.7838370565047,300,313,306.1535260621989,290,72,69.84975908891812,69,3166,2778.6600963644332,2503
2010-07-15,36.59786,-5.94015,143,140.2522463291694,133,393,364.164365548981,329,202,184.0668419899189,173,208,175.94586894586894,155,378,360.9964935349551,326,443,387.6881437650668,366,276,251.30856892395354,227,75,72.37519175980715,69,2668,2412.0416392724087,1869
2010-07-15,37.10579,-4.67189,140,138.24808408145387,136,350,325.65039404553414,311,172,161.16659369527142,151,181,173.28371278458846,159,325,307.34566549912427,268,421,385.53327495621716,364,331,306.93957968476354,290,78,76.10901926444835,65,3183,2469.592381786339,2205
2010-07-15,37.24434,-3.75542,144,141.46871768355737,137,334,315.8388250319284,292,181,166.97215836526183,157,176,168.8288633461047,160,288,272.46564495530015,258,472,455.690932311622,432,291,271.9453384418902,259,77,75.6375478927203,71,4475,2616.7931034482767,2210
2010-07-15,37.45555,-2.25556,137,136.1614879649891,135,268,254.06717724288848,232,141,134.27702407002192,128,141,128.95382932166305,120,431,416.59168490153183,403,375,345.3450765864333,304,285,238.04726477024073,205,77,75.90481400437639,75,1847,1693.1533916849019,1494
2010-07-15,37.50512,-5.81387,147,144.65615418309244,142,315,298.79964966060874,280,175,167.46135318589882,161,173,165.35953580030653,158,378,351.6831618130064,322,392,347.770089774469,296,337,300.5596671775783,276,76,74.02364790891176,72,2409,2098.2638493540617,1930
2010-07-15,37.75169,-7.11385,143,141.7839316987741,139,360,342.3291721419185,323,183,173.74222514235655,161,198,175.97262374069206,165,487,467.25886990801564,446,331,306.20674551029344,286,247,226.604905825668,204,66,63.68637757336838,62,3130,2236.201489268506,1969
2010-07-15,37.81599,-4.99439,144,142.4735571648014,140,333,316.10533245556286,309,188,179.3162168093044,173,189,180.50120693438663,176,378,345.578231292517,324,396,378.84858459512833,364,308,275.6449418477068,244,76,75.45336844415188,73,2671,2183.417599297784,1952
2010-07-15,38.03548,-3.86859,144,142.57902802101583,140,388,357.1040297853701,317,189,175.65703022339025,163,182,174.56526500219007,161,301,276.1123521681998,246,423,394.2851511169514,369,349,329.6526500219011,306,77,75.29150240911079,70,3338,2514.0797196671037,2277
2010-07-15,38.1893,-1.43707,133,130.3040052527906,126,350,310.00131377271737,285,205,183.3205605430261,172,221,195.2848697175389,174,416,342.0405079921174,296,452,409.70089774469034,360,278,248.3433326034596,216,78,76.03744252244363,73,3854,2543.5703963214364,1942
