latitude,longitude,date,ALLSKY_SFC_SW_DWN_mean,ALLSKY_SFC_SW_DWN_min,ALLSKY_SFC_SW_DWN_max,ALLSKY_SFC_SW_DWN_std,RH2M_mean,RH2M_min,RH2M_max,RH2M_std,T2M_mean,T2M_min,T2M_max,T2M_std,T2M_MAX_mean,T2M_MAX_min,T2M_MAX_max,T2M_MAX_std,T2M_MIN_mean,T2M_MIN_min,T2M_MIN_max,T2M_MIN_std,WS2M_mean,WS2M_min,WS2M_max,WS2M_std,DEW POINT TEMPERATURE_mean,DEW POINT TEMPERATURE_min,DEW POINT TEMPERATURE_max,DEW POINT TEMPERATURE_std,DTR_mean,DTR_min,DTR_max,DTR_std,VPD_mean,VPD_min,VPD_max,VPD_std
28.11818,-15.55454,2010-07-15,19.874516129032255,11.49,27.1,4.498860672049541,84.95612903225805,78.51,89.68,2.5685211980127782,21.52129032258065,20.46,22.58,0.44833557373973876,23.06064516129033,21.53,24.35,0.5716243718357248,20.380000000000003,19.42,21.31,0.47428043970194517,7.056451612903226,3.93,9.13,1.349333284320378,18.874307659249773,16.59086947564714,20.26270669290983,0.8292477115163196,2.680645161290323,1.75,3.4400000000000013,0.43977219530901435,0.38534075474121277,0.26562126155122284,0.5169847867727025,0.059329340034536056
28.47143,-16.54286,2010-07-15,22.501935483870973,16.69,28.76,3.104890439451763,83.86322580645164,76.39,88.57,2.709728455740565,21.19,20.15,22.29,0.5005480866977458,23.00064516129032,21.4,24.42,0.6545864761318027,19.86741935483871,19.02,20.95,0.47816158519989266,5.505161290322581,3.57,7.65,1.1062399872854456,18.341618850414815,15.860630624933652,19.865686561792916,0.8381057654113868,3.133225806451613,1.9800000000000004,4.0,0.5150846287921024,0.40542116580640664,0.29275466949555456,0.5572152544084524,0.06389559917541345
28.7,-18.0,2010-07-15,23.317741935483873,18.6,28.39,2.725178549554339,83.03645161290326,73.01,88.14,3.6257346738389513,21.701290322580643,20.7,22.43,0.3942795956979855,22.82548387096774,21.36,23.87,0.5216836188025759,20.819677419354843,19.92,21.58,0.41356423903995226,5.488709677419356,3.11,7.64,1.306341213973479,18.676817418901845,16.392465306295847,20.077740525414477,0.9360696770649595,2.0058064516129033,1.1800000000000033,2.8000000000000007,0.43545137274200085,0.4395815746982641,0.3090124138210608,0.7214637202007222,0.09053828275582397
36.59786,-5.94015,2010-07-15,28.160645161290326,12.76,30.89,3.490022585640821,65.3541935483871,53.88,74.17,4.42076753968792,24.903225806451612,23.51,27.41,0.9438540999088109,28.97032258064516,26.43,33.41,1.8807453633461861,21.238064516129032,19.55,22.82,0.7866073306369973,3.584516129032258,1.25,8.15,1.7542939738008703,17.91216531473722,15.95698361503755,20.445540826783272,1.1491234564691333,7.732258064516128,5.469999999999999,12.16,1.816147481714574,1.0953983222522121,0.7753841948038381,1.6118191062776557,0.1739246135843211
37.10579,-4.67189,2010-07-15,28.25,18.87,30.54,2.451195889830631,53.03,38.07,70.69,7.120402308315033,25.758387096774197,23.04,27.48,0.9185546036210951,32.645806451612906,26.51,35.51,1.5978287166340175,19.28161290322581,17.48,20.84,0.8162546122942101,1.877741935483871,1.09,3.77,0.5942450329696977,15.320418393828199,11.101735268661217,19.706906305397414,1.771532398991215,13.364193548387098,6.630000000000003,15.560000000000002,1.760591495535499,1.565660750778791,0.9525240183849341,2.1529219611495716,0.2913419948574569
37.24434,-3.75542,2010-07-15,28.501612903225805,12.5,31.12,3.3185714928839327,44.21258064516128,32.05,63.29,6.699412091559126,26.593870967741935,23.94,28.94,0.9835245291703245,32.468387096774194,27.87,35.22,1.4455116222832964,20.873225806451615,19.26,23.45,1.0277045737695878,1.930322580645161,1.27,3.49,0.4900459746105971,13.2377269583427,9.696011201146668,18.208128536113723,1.8392947634084826,11.595161290322581,7.380000000000003,14.279999999999998,1.356063731892116,1.9535889416507481,1.2137065593745373,2.7124344901577464,0.31763959528872693
37.45555,-2.25556,2010-07-15,27.882903225806448,9.29,31.0,3.7873313385620366,39.65096774193549,26.45,60.96,9.256199441224979,25.729032258064517,19.81,28.56,2.0857772664910867,34.18645161290322,25.3,38.17,2.7124474704437604,17.804193548387094,14.62,20.9,1.7511871995021866,1.85,0.74,3.29,0.6105206662112002,10.586628132115523,6.144538445735073,17.319985109717795,2.4569732501458086,16.38225806451613,10.680000000000001,18.92,1.8172679062483126,2.035107206040613,0.9021833637582608,2.6963636154631083,0.48617884751386753
37.50512,-5.81387,2010-07-15,28.402580645161283,19.2,30.97,2.4172537973733155,41.766451612903225,32.82,55.57,6.029452737369686,29.133870967741935,25.84,31.24,1.1726855790115454,38.171290322580646,30.38,41.15,1.9081045178911638,20.452903225806455,16.84,22.45,1.2030182299543501,1.876774193548387,1.01,3.06,0.575305736932051,14.657052290615598,9.67615635614042,17.634398502581416,2.2832839978227657,17.718387096774194,8.879999999999999,20.63,2.030398176068402,2.3591470508369143,1.4794200988941273,3.0341027508909906,0.3117791204927225
37.75169,-7.11385,2010-07-15,28.847741935483867,22.27,31.49,1.8335699528821865,39.041935483870965,23.87,53.91,7.693810423616333,28.128387096774194,23.24,31.62,2.396847521997275,37.39580645161291,32.38,41.17,2.6302100666671255,18.809032258064512,12.85,22.79,2.530050815298316,2.5848387096774195,1.19,4.01,0.8169094827566209,12.554268009642252,7.409491023163234,15.665972512305812,2.279336383065857,18.586774193548386,15.109999999999996,21.529999999999998,1.8563793881861583,2.369256473145097,1.3896086626890867,3.4731362602566542,0.5604431296728773
37.81599,-4.99439,2010-07-15,28.25,18.87,30.54,2.451195889830631,43.480322580645165,32.47,58.62,6.766113137741337,27.830967741935478,24.41,30.27,1.2189613633790983,36.17032258064516,29.98,39.89,1.8380731212787846,19.412258064516127,15.86,21.67,1.323759820524465,1.7587096774193547,0.91,2.92,0.4946340578616379,14.084406589752868,8.548472840593517,17.632671462482374,2.4051935993986335,16.758064516129036,9.670000000000002,19.39,1.9653587366126326,2.124978531349171,1.2654591555323293,2.830295563371562,0.32204780265267163
38.03548,-3.86859,2010-07-15,28.809677419354834,21.1,31.18,2.4759077629791535,38.515806451612896,27.04,56.02,6.311311286578044,28.287419354838708,24.5,31.43,1.3369222423933396,36.527419354838706,29.59,41.57,2.139273267832818,20.019354838709678,17.25,22.76,1.3011977992600388,1.7980645161290323,0.85,2.77,0.4685972158222654,12.613506377203098,7.496628229340025,15.746538338579336,2.294122703181686,16.508064516129032,9.850000000000001,20.6,1.9610208325041045,2.3772140367542485,1.3522306525777232,3.0389348860643826,0.34662171800750724
38.1893,-1.43707,2010-07-15,28.14709677419355,15.64,30.69,2.7916455934926647,51.20806451612904,36.47,68.65,8.886046480879662,27.061290322580643,24.31,29.98,1.3247050601390338,34.493870967741934,30.94,38.78,1.8897818229069159,20.606129032258064,17.95,22.29,1.1273024536744138,2.4251612903225808,1.84,3.26,0.42185359765729097,15.888675778922067,11.429264795794392,20.80811885685973,2.4580230815318895,13.887741935483872,9.0,17.05,1.4810386714417458,1.7608403146896352,1.05920935195892,2.6925284802502287,0.4036799832006499
38.2,-0.88411,2010-07-15,27.009354838709676,18.81,30.08,2.983404566862055,67.31451612903224,57.73,76.02,5.211287896486091,25.923548387096773,24.41,27.31,0.7430215052985399,29.17838709677419,27.4,31.84,1.001183482826759,22.876451612903228,20.82,24.13,0.8257178631918847,3.012903225806452,1.7,4.84,0.7485262662591853,19.348826604911466,15.52708473287369,22.29544479046673,1.6228279605116058,6.301935483870968,3.780000000000001,9.149999999999999,0.9166960989189125,1.092224283338404,0.8494666042868538,1.4048768599512131,0.1658389592649304
39.02606,-6.19655,2010-07-15,28.872258064516128,22.29,31.94,2.142995656788788,33.3,17.78,51.37,8.71597791230232,29.19451612903226,24.28,32.79,2.2966930485846975,37.838387096774184,32.36,42.0,2.5773668693432734,20.00322580645161,14.6,23.65,2.1704531816023067,2.3941935483870966,1.03,3.89,0.796685772813559,10.884920687349938,3.539668723969255,16.108054875332456,3.3649386859738413,17.835161290322585,13.659999999999997,20.53,1.713524703489653,2.748147084848862,1.7348423748732718,3.739832668106349,0.6228630635551551
39.0489,-1.99314,2010-07-15,28.078709677419354,17.97,30.8,2.730928876520959,41.740645161290324,27.98,57.04,6.73809053811953,26.09451612903226,23.81,27.96,1.1462332102676573,34.60935483870967,31.0,37.06,1.566697647681511,17.60741935483871,15.38,20.15,1.265864406288944,2.299677419354839,1.64,3.84,0.4990021259956504,11.888470181454988,6.884932294409475,16.643936806477736,2.3045496329542132,17.00193548387097,14.07,20.17,1.6056943415290206,1.9787381943478435,1.427934432969311,2.563242157984487,0.30259894439761675
